Framing Extrusions,McMaster-Carr,$76.42 ,,
Adafruit TSL2561 Lux Sensor,Adafruit Industries,$5.95 ,,
8-pin header connector (for stepper drivers) x6,Adafruit Industries,$4.55 ,,
40 Pin single row header pins,Adafruit Industries,$2.29 ,,
2x MCP23017 - i2c 16 input/output port expander,Adafruit Industries,$5.90 ,,
Aluminum Extrusion Slim T-Nut for 20x20 - M4 Thread - pack of 50,Adafruit Industries,$11.95 ,,
24x Aluminum Extrusion Corner Brace Support (for 20x20),Adafruit Industries,$20.64 ,,
"IC Socket - for 28-pin 0.3"" Chips - Pack of 3",Adafruit Industries,$1.25 ,,
Antec Power Supply,RE-PC,$22.00 ,,
16GB class 10 microSD card,Vetco,$13.15 ,,
DC motor,Vetco,$5.49 ,,
Small Rare Earth Magnets,Home Depot,$4.38 ,,
Nuts & Bolts,Hardwick's Hardware,$6.34 ,,
Nuts & Bolts,Ace Hardware,$24.61 ,,
Nuts & Bolts,Pacific Supply Co.,$17.52 ,,
Misc circuitry,Vetco,$35.70 ,,
Nichrome for heating,Vetco,$7.69 ,,
Kapton Tape,Fry's,$3.99 ,,
Metal tubing,Amazon,$10.82 ,,
Perma-Proto Quarter-sized Breadboard PCB - Single,Adafruit Industries,$2.95 ,,
Plastic scrap,Tap Plastics,$30.00 ,,
Si7021 Temperature & Humidity Sensor Breakout Board,Adafruit Industries,$6.95 ,,
Hinges,Fred Meyer,$8.83 ,,
LGDehome Shaft Rigid Motor Wheel Coupling Coupler 5mm to 8mm Alumlnum alloy Casing With Screw Blue(Pack of 4),,$8.99 ,,
"5 PCS DRV8825 StepStick Stepper Motor Drivers for 3D Printer Electronics, CNC Machine or Robotics""",,$15 ,,
Touch screen and ribbon cable,Adafruit Industries,$78.53 ,YES,
End-stop switches,Amazon,$10.39 ,,
Capacitors,Various,$12.00 ,,
Stepper motors,Amazon,$33.99 ,,
Shrink Tubing,Various,$15.00 ,YES,
Aluminum Scraps,DONATED,????,,
Check Valves and silicone tubing,DONATED,????,,
Laser,Vetco,$1.99 ,,
3.0mm barrel jack and 3.0mm plug ends,Vetco,$12.84 ,,
Philmore locking connectors,Vetco,$15.00 ,YES,
Epoxy putty,WalMart,$2.52 ,,
Resistors,Vetco,$18.00 ,,
Fishtank Bubbler,,,,
Air filter,DONATED,????,,
Lead-free solder,Fry's,,,
Raspberry Pi Computer,,$35 ,,
3D Printed Parts,UW MakerSpace,$10 ,,
"3 Syringes, 3mL",Vetco,$5 ,,
,,,,
,,,,
,,,,
,,,,
